Тип задания,Средний процент
27,34.725974025974025
10,47.86519036519036
22,55.04814629814629
8,56.10669458076578
5,58.81943888818759
3,58.89609091888504
1,59.55288202278205
18,59.554865424430645
19,59.902951454675595
25,61.28059497624715
6,62.20034697059869
11,62.47751950118067
12,62.755498036610604
4,64.78160246371866
26,64.95098039215685
24,65.39861101135611
9,66.75561371533003
17,67.89559932219211
2,72.35302784194808
14,72.91025245430387
7,72.92410943665368
13,74.07098241862785
15,74.72064415602901
23,75.11674451514023
16,86.63643702202667
